,annotated,predicted,delta
GSM2089079,38.0,41.36650504192473,-3.366505041924732
GSM1572889,32.0,37.21558769447187,-5.215587694471871
GSM1573090,59.0,53.41970635476836,5.580293645231642
GSM1573062,53.0,54.988634839556674,-1.9886348395566742
GSM1572848,80.0,69.23451754819206,10.76548245180794
GSM959855,69.0,74.27306088282123,-5.273060882821227
GSM959432,53.0,57.222518347258294,-4.222518347258294
GSM1865220,35.0,27.313334935350284,7.686665064649716
GSM1467203,55.0,59.53227736598911,-4.53227736598911
GSM2080060,57.0,63.488224756421694,-6.488224756421694
GSM1174899,47.0,52.202924538399294,-5.202924538399294
GSM1467191,54.0,49.57641244120544,4.423587558794559
GSM1500958,41.0,44.416454579385565,-3.416454579385565
GSM1467110,49.20273973,48.707546092817715,0.4951936371822825
GSM1904256,64.0,53.241086846953046,10.758913153046954
GSM2044701,43.0,38.937858883613934,4.062141116386066
GSM959474,67.0,68.12993384831373,-1.1299338483137262
GSM1174848,44.0,49.1558760182048,-5.1558760182048005
GSM1467160,52.0,57.036234049501054,-5.036234049501054
GSM1546376,42.0,42.39179216113484,-0.3917921611348376
GSM1496828,76.0,64.75225814115797,11.247741858842033
GSM1438497,24.0,38.20762327241784,-14.207623272417841
GSM959801,65.8,68.37717017150598,-2.5771701715059834
GSM1025014,47.0,42.81564200019441,4.1843579998055915
GSM1438498,27.0,36.434305564497244,-9.434305564497244
GSM1499365,60.0,52.95263886521119,7.047361134788808
GSM1024920,46.0,50.079924689205335,-4.079924689205335
GSM1865165,23.0,31.52550046933076,-8.525500469330758
GSM1860485,28.0,31.781370481858936,-3.7813704818589358
GSM959347,56.0,60.008580098760525,-4.008580098760525
GSM1299781,35.0,47.19644273976855,-12.19644273976855
GSM2080147,60.0,62.5784482988391,-2.578448298839099
GSM1466955,67.93150685,47.47752041252591,20.453986437474093
GSM1438133,44.05147864,47.425404988499146,-3.373926348499147
GSM2334799,52.16,58.84918800625032,-6.689188006250326
GSM2080096,79.0,64.85357807685767,14.146421923142327
GSM1572974,64.0,62.704846665360556,1.2951533346394442
GSM1438254,45.98576123,42.7476245827581,3.2381366472419018
GSM2080136,76.0,69.564158342008,6.435841657992
GSM1572900,63.0,62.95729949823828,0.04270050176172191
GSM1438152,47.13362541,43.841439913012245,3.2921854969877558
GSM959775,72.0,72.28724208043127,-0.28724208043126964
GSM1438499,50.0,51.50526841886141,-1.5052684188614123
GSM2080167,76.0,68.80527035414374,7.194729645856256
GSM1496818,28.0,44.46524844559314,-16.46524844559314
GSM1573045,59.0,57.54090931223927,1.4590906877607281
GSM2080148,67.0,65.52783718735321,1.4721628126467863
GSM1467035,65.0739726,73.31079147189638,-8.236818871896375
GSM2080156,75.0,70.59632726815423,4.403672731845774
GSM959819,72.0,74.25164862520319,-2.251648625203188
GSM1003842,75.0,74.44563279504786,0.5543672049521433
GSM1904253,56.0,54.81594456411309,1.1840554358869113
GSM959392,73.0,77.28900316826875,-4.289003168268749
GSM1860495,50.0,38.88453458491281,11.115465415087193
GSM1546394,38.0,38.8022942324185,-0.8022942324184967
GSM1225725,51.0,56.099143841027164,-5.099143841027164
GSM1500978,57.0,56.73311413842402,0.2668858615759788
GSM1003843,75.0,73.17874292211687,1.821257077883132
GSM2080073,70.0,69.47431543439725,0.5256845656027451
GSM959649,65.0,71.25791594175254,-6.257915941752543
GSM959342,74.0,68.58059694175435,5.419403058245649
GSM2080066,79.0,78.65950644055846,0.3404935594415406
GSM1438268,26.69277108,31.551531931694086,-4.858760851694086
GSM1438221,54.46221249,55.16136303528092,-0.6991505452809221
GSM1174917,57.0,57.66314090670807,-0.6631409067080725
GSM1104653,20.0,20.122128851143458,-0.12212885114345795
GSM1860471,24.0,26.59221920648379,-2.59221920648379
GSM1466992,42.64109589,51.25433329812598,-8.613237408125975
GSM2334794,57.77,58.362852062571626,-0.5928520625716232
